user_id,nb_commandes,montant_total,montant_moyen,nb_tickets_total,nb_tickets_moyen,delta_moyen,delta_min,delta_25,delta_75,cluster
00056817-958d-42a7-b587-ebde5ddaa4cc,6,604,100.66666666666667,9,1.5,4655968.166666667,999999.0,1767524.25,6117717.0,2
00140548-6eba-4dc0-be45-35bd60361be5,7,540,77.14285714285714,9,1.2857142857142858,4135537.1428571427,999999.0,2117809.0,5732686.5,2
0015e1e4-273b-4e86-80fc-8509491336d7,9,1558,173.11111111111111,16,1.7777777777777777,3315335.0,999999.0,1328109.0,4826324.0,2
001c042a-9fed-4563-a205-47c0b6cb0c9c,6,1230,205.0,12,2.0,5626650.666666667,882238.0,1606197.25,6908140.25,3
001f1c61-b6aa-40b7-809a-a1c69d0ea784,4,370,92.5,5,1.25,1493430.75,304115.0,826028.0,1753199.25,1
002b4ece-fa0c-48c1-84ae-7e86c6ad8ec8,2,213,106.5,3,1.5,7475120.0,999999.0,4237559.5,10712680.5,0
002ec0be-49b0-48a5-87b6-baac4cbd9cf8,6,619,103.16666666666667,9,1.5,4695135.166666667,55661.0,1183801.25,6175558.25,2
00306d8c-8aa2-4cdd-b1e3-72822c331271,5,337,67.4,5,1.0,6096526.6,999999.0,2811302.0,9862018.0,0
0031b937-55f6-4e0e-8014-dc23ad0e722b,4,925,231.25,12,3.0,7092236.0,999999.0,4826172.75,8743069.25,3
0037207c-af3c-49be-8ecb-80fc7cb2a9ec,13,2314,178.0,23,1.7692307692307692,2146812.3076923075,21261.0,999999.0,2001495.0,2
00393019-399e-4fd0-a48c-bb7fe98cb793,5,872,174.4,8,1.6,5473547.6,999999.0,3713556.0,4505220.0,3
0039f9ff-1db1-4f13-85bc-230ef3aed92d,7,979,139.85714285714286,13,1.8571428571428572,2549107.8571428573,681157.0,1116496.0,2720526.0,2
003a0c39-005e-4e36-9b82-42b21057fb43,4,438,109.5,5,1.25,4477658.75,999999.0,2672415.0,6045779.25,0
003d1c21-e759-4cca-8a68-bc0b7d725897,8,1357,169.625,22,2.75,2716118.125,580854.0,1348205.25,3028070.75,3
003e573c-61e2-435d-a662-5270e071b7f4,3,367,122.33333333333333,4,1.3333333333333333,8443025.666666666,999999.0,3760997.0,12164539.0,0
00490283-cc9e-478a-84cb-1aa39a347e46,3,914,304.6666666666667,7,2.3333333333333335,5882435.333333333,999999.0,2709064.5,8323653.5,3
005f05e6-254b-497e-87aa-dccd16460992,3,500,166.66666666666666,5,1.6666666666666667,5986604.0,999999.0,4031699.0,8479906.5,0
006421e0-dd7e-4b69-81e4-c73de9687828,8,744,93.0,10,1.25,2318466.375,285600.0,1123528.5,3526658.25,2
00656c60-f180-4890-8cb4-38b520b212cc,6,472,78.66666666666667,7,1.1666666666666667,4176637.8333333335,939793.0,1027424.25,6056603.75,2
00746092-701a-429b-92d3-14b0c30d2e7a,5,763,152.6,11,2.2,5210346.4,999999.0,2663586.0,4603865.0,3
00799fac-f93e-4329-9d28-e9af7dcd4918,3,503,167.66666666666666,7,2.3333333333333335,10833765.0,999999.0,6532072.0,15750648.0,0
007ca133-29bc-4734-8006-aabea463e4b1,5,840,168.0,8,1.6,4797803.4,999999.0,1825161.0,7599908.0,2
0082dde3-9026-4814-b032-fbf4531df51e,5,281,56.2,6,1.2,4115248.2,594320.0,999999.0,3866806.0,2
009b29ea-b97d-4b59-89e9-c4541e46d870,4,762,190.5,8,2.0,5436903.75,999999.0,3157149.0,7500156.25,3
